undefined﻿ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-11,MapQuest,201,3,2/8/16 8:14,2/8/16 8:44,39.952812,-83.119293,0,0,0.01,Accident on I-270 Outerbelt Northbound at Exits 7 7A 7B US-40 Broad St. Expect delays.,0,Outerbelt S,R,Columbus,Franklin,OH,43228,US,US/Eastern,KTZR,2/8/16 7:50,35.6,30.7,93,29.64,5,WNW,5.8,0,Rain,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-12,MapQuest,241,3,2/8/16 8:21,2/8/16 8:51,39.932709,-82.83091,0,0,0.01,One lane blocked due to accident on I-70 Westbound at Exits 110 110A 110B Brice Rd. Expect delays.,0,I-70 E,R,Reynoldsburg,Franklin,OH,43068,US,US/Eastern,KCMH,2/8/16 8:28,37.4,33.8,100,29.62,3,SSW,4.6,0.02,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-13,MapQuest,201,2,2/8/16 8:36,2/8/16 9:06,39.737633,-84.149933,0,0,0,Accident on Revere Ave at Watervliet Ave. Expect delays.,99,Watervliet Ave,R,Dayton,Montgomery,OH,45420-1863,US,US/Eastern,KFFO,2/8/16 8:28,33.8,0,100,29.63,3,SW,2.3,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-14,MapQuest,201,2,2/8/16 8:37,2/8/16 9:07,39.79076,-84.241547,0,0,0.01,Accident on Salem Ave at Hillcrest Ave / Kensington Dr. Expect delays.,3198,Salem Ave,L,Dayton,Montgomery,OH,45406-2708,US,US/Eastern,KDAY,2/8/16 8:56,36,31.1,89,29.65,10,NW,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-15,MapQuest,201,2,2/8/16 8:39,2/8/16 9:09,39.972038,-82.913521,0,0,0.01,Accident on OH-16 Broad St at James Rd. Expect delays.,3280,E Broad St,L,Columbus,Franklin,OH,43213-1006,US,US/Eastern,KCMH,2/8/16 8:28,37.4,33.8,100,29.62,3,SSW,4.6,0.02,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-16,MapQuest,201,2,2/8/16 8:43,2/8/16 9:13,39.745888,-84.17041,0,0,0.01,Accident on Wayne Ave at Glencoe Ave. Expect delays.,100,Glencoe Ave,R,Dayton,Montgomery,OH,45410-1721,US,US/Eastern,KFFO,2/8/16 8:28,33.8,0,100,29.63,3,SW,2.3,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-17,MapQuest,201,2,2/8/16 8:53,2/8/16 9:23,39.748329,-84.224007,0,0,0.01,Accident on James H McGee Blvd at US-35. Expect delays.,0,S James H McGee Blvd,R,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,2/8/16 8:58,35.6,0,99,29.65,7,WSW,2.3,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-18,MapQuest,201,2,2/8/16 9:24,2/8/16 9:54,39.752174,-84.239952,0,0,0,Accident on Delphos Ave at Brooklyn Ave. Expect delays.,3001,Delphos Ave,R,Dayton,Montgomery,OH,45417-1727,US,US/Eastern,KDAY,2/8/16 8:56,36,31.1,89,29.65,10,NW,5.8,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-19,MapQuest,201,2,2/8/16 9:25,2/8/16 9:55,39.740669,-84.184135,0,0,0.01,Accident on Stewart St near Rubicon St. Expect delays.,440,Rubicon St,L,Dayton,Montgomery,OH,45409-2659,US,US/Eastern,KFFO,2/8/16 9:38,37.4,32.1,93,29.63,10,WSW,6.9,0,Overcast,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-20,MapQuest,201,2,2/8/16 9:35,2/8/16 10:05,39.790703,-84.244461,0,0,0.01,Accident on Hillcrest Ave at Piccadilly Ave. Expect delays.,3499,W Hillcrest Ave,R,Dayton,Montgomery,OH,45406-2640,US,US/Eastern,KDAY,2/8/16 9:56,36,30.3,89,29.65,10,West,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-21,MapQuest,201,2,2/8/16 10:11,2/8/16 10:41,40.052509,-82.882332,0,0,0,Accident on Brookhill Dr at Glenhurst Ct.,193,Brookhill Dr,R,Columbus,Franklin,OH,43230-1765,US,US/Eastern,KCMH,2/8/16 10:14,33.8,29.6,100,29.62,2,NNW,4.6,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-22,MapQuest,201,2,2/8/16 10:24,2/8/16 10:54,39.773346,-84.224686,0,0,0,Accident on Princeton Dr at Catalpa Dr. Expect delays.,1391,Princeton Dr,R,Dayton,Montgomery,OH,45406-4736,US,US/Eastern,KDAY,2/8/16 9:56,36,30.3,89,29.65,10,West,6.9,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-23,MapQuest,201,2,2/8/16 11:53,2/8/16 12:23,39.628288,-84.226151,0,0,0.01,Accident on OH-741 Springboro Pike at Lyons Rd. Expect delays.,0,Springboro Pike,R,Miamisburg,Montgomery,OH,45342,US,US/Eastern,KMGY,2/8/16 11:53,35.1,28.6,89,29.65,6,WSW,8.1,0.02,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-24,MapQuest,201,3,2/8/16 12:00,2/8/16 12:45,40.023487,-82.994888,0,0,0.01,Accident on I-71 Northbound at Exit 113 Silver Dr. On exit ramp.,0,North Fwy S,R,Columbus,Franklin,OH,43211,US,US/Eastern,KCMH,2/8/16 11:51,37,32.4,96,29.63,8,West,5.8,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-25,MapQuest,201,2,2/8/16 12:16,2/8/16 13:01,39.761379,-84.259216,0,0,0.01,Accident on Hoover Ave at Elmhurst Rd.,4401,Hoover Ave,R,Dayton,Montgomery,OH,45417-1117,US,US/Eastern,KDAY,2/8/16 12:20,37.9,30.9,76,29.62,10,WNW,10.4,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-26,MapQuest,201,2,2/8/16 12:41,2/8/16 13:11,40.158024,-82.641762,0,0,1.32,Accident on County Hwy-16 Sportsman Club Rd between Liberty Ridge Ct and Nichols Ln.,7849,Sportsman Club Rd,L,Johnstown,Licking,OH,43031-9133,US,US/Eastern,KCMH,2/8/16 12:51,37.9,34.4,100,29.6,5,West,4.6,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-27,MapQuest,201,2,2/8/16 12:52,2/8/16 13:37,39.733219,-84.159653,0,0,0,Accident on Irving Ave at Wilmington Ave.,1240,Irving Ave,R,Dayton,Montgomery,OH,45419-4148,US,US/Eastern,KMGY,2/8/16 12:53,36,29,86,29.63,7,West,9.2,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-28,MapQuest,201,2,2/8/16 14:24,2/8/16 15:09,39.775303,-84.200523,0,0,0,Accident on Helena St at OH-48 Main St.,1,W Helena St,R,Dayton,Montgomery,OH,45405-4326,US,US/Eastern,KDAY,2/8/16 13:56,39.9,32.9,70,29.61,10,WNW,11.5,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-29,MapQuest,201,2,2/8/16 14:56,2/8/16 15:41,39.789322,-84.239105,0,0,0.01,Accident on Salem Ave at Litchfield Ave.,2198,Litchfield Ave,R,Dayton,Montgomery,OH,45406-2701,US,US/Eastern,KDAY,2/8/16 14:56,39.9,34.5,65,29.61,10,WNW,8.1,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-30,MapQuest,201,2,2/8/16 15:26,2/8/16 16:11,39.75872,-84.183762,0,0,0,Accident on 4th St at Wayne Ave.,500,E 4th St,R,Dayton,Montgomery,OH,45402,US,US/Eastern,KFFO,2/8/16 15:46,39.2,35.9,75,29.62,10,NNE,4.6,0,Mostly Cloudy,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-31,MapQuest,201,2,2/8/16 16:16,2/8/16 16:46,40.081459,-83.122398,0,0,0.01,Accident on Frantz Rd Southbound at Bradenton Ave.,5644,Frantz Rd,R,Dublin,Franklin,OH,43017-2552,US,US/Eastern,KOSU,2/8/16 15:53,37,31.6,89,29.61,10,West,6.9,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Day,Day,Day,Day
A-32,MapQuest,201,2,2/8/16 17:39,2/8/16 18:24,39.83321,-84.112946,0,0,0,Accident on Powell Rd at Bellefontaine Rd. Approach with care.,5599,Bellefontaine Rd,L,Dayton,Montgomery,OH,45424-4132,US,US/Eastern,KFFO,2/8/16 17:58,34.2,31.2,97,29.66,10,NW,3.5,0.02,Light Rain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Day,Day,Day,Day
A-33,MapQuest,201,3,2/8/16 18:24,2/8/16 21:00,40.042725,-82.997307,0,0,0.01,Left lane blocked due to accident on I-71 Southbound at Exit 115 Cooke Rd.,0,North Fwy S,R,Columbus,Franklin,OH,43224,US,US/Eastern,KCMH,2/8/16 18:43,33.8,28.6,100,29.62,6,South,5.8,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
A-34,MapQuest,201,3,2/8/16 19:28,2/8/16 21:00,39.974415,-82.848854,0,0,0.01,Right lane blocked due to accident on I-270 Outerbelt Northbound at Exit 39 OH-16 Broad St.,0,Outerbelt N,R,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,2/8/16 19:51,34,0,100,29.65,6,Calm,0,0.07,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-35,MapQuest,201,2,2/8/16 20:22,2/8/16 21:07,39.994766,-83.02449,0,0,0.01,Accident on OH-315 Olentangy Fwy Eastbound at Cannon Dr.,0,Olentangy Fwy N,R,Columbus,Franklin,OH,43212,US,US/Eastern,KOSU,2/8/16 20:27,33.1,26.1,92,29.63,7,WNW,8.1,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-36,MapQuest,201,2,2/8/16 20:43,2/8/16 23:00,40.006477,-83.030991,0,0,1.09,Right lane blocked due to accident on OH-315 Olentangy Fwy Northbound between Cannon Dr and Lane Ave.,0,Olentangy Fwy S,R,Columbus,Franklin,OH,43210,US,US/Eastern,KOSU,2/8/16 20:39,33.1,25.5,92,29.63,9,WNW,9.2,0,Overcast,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-37,MapQuest,201,2,2/9/16 4:28,2/9/16 4:58,39.742062,-84.186996,0,0,0.01,Accident on OH-48 Main St at Fairground Ave. Expect delays.,1126,S Main St,L,Dayton,Montgomery,OH,45409-2616,US,US/Eastern,KFFO,2/9/16 4:28,23,11.7,93,29.65,5,SW,11.5,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-38,MapQuest,201,2,2/9/16 5:04,2/9/16 5:34,39.843521,-82.78157,0,0,0.01,Accident on US-33 Columbus Lancaster Rd Eastbound at County Hwy-18 Diley Rd. Expect delays.,0,Diley Rd,R,Canal Winchester,Fairfield,OH,43110,US,US/Eastern,KLCK,2/9/16 4:55,23,11.7,93,29.63,2.5,WSW,11.5,0,Light Snow,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-39,MapQuest,201,2,2/9/16 5:17,2/9/16 5:47,39.782578,-84.178688,0,0,0.01,Accident on Leo St at Kiser St. Expect delays.,898,Kiser St,R,Dayton,Montgomery,OH,45404-1672,US,US/Eastern,KFFO,2/9/16 4:58,22.8,11.5,89,29.69,4,SW,11.5,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-40,MapQuest,201,3,2/9/16 5:27,2/9/16 5:57,40.007626,-82.912155,0,0,0.01,Accident on I-670 Northeast Fwy Eastbound near I-270 Outerbelt Exits 35A 35B. Expect delays.,1728,Stelzer Rd,R,Columbus,Franklin,OH,43219-3504,US,US/Eastern,KCMH,2/9/16 5:27,26.6,18.2,86,29.62,1.5,West,8.1,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-41,MapQuest,201,2,2/9/16 5:40,2/9/16 6:10,39.447502,-84.191208,0,0,0,Accident on Monroe Rd near Shaker Run Rd. Expect delays.,0,Monroe Rd,R,Lebanon,Warren,OH,45036,US,US/Eastern,KMGY,2/9/16 5:45,21,10.6,85,29.67,0.8,SW,9.2,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-42,MapQuest,201,2,2/9/16 5:47,2/9/16 6:17,39.787731,-84.173439,0,0,0.01,Accident on Stanley Ave at Kuntz Rd.,1298,Air City Ave,R,Dayton,Montgomery,OH,45404-1255,US,US/Eastern,KFFO,2/9/16 5:58,23,12.4,86,29.71,3,SW,10.4,0,Light Snow,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Night
A-43,MapQuest,201,2,2/9/16 5:56,2/9/16 6:26,39.426277,-83.624611,0,0,0.01,Accident on OH-72 State Route 72 Northbound at Point Isabel Rd.,4513,S State Route 72,R,Sabina,Clinton,OH,45169,US,US/Eastern,KILN,2/9/16 5:54,19.9,6.7,89,29.75,1.8,WSW,13.8,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Night
A-44,MapQuest,201,3,2/9/16 6:06,2/9/16 6:36,39.978306,-82.852554,0,0,0.01,Accident on I-270 Outerbelt near Exit 39 OH-16 Broad St.,0,E Broad St,R,Columbus,Franklin,OH,43213,US,US/Eastern,KCMH,2/9/16 5:51,25,15.5,88,29.65,1,SW,9.2,0.02,Light Snow,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-45,MapQuest,201,3,2/9/16 6:13,2/9/16 6:43,39.84182,-84.189606,0,0,0.01,Accident on I-75 Northbound at Exit 59 Wyse Rd. Expect delays.,0,Benchwood Rd,R,Dayton,Montgomery,OH,45414,US,US/Eastern,KDAY,2/9/16 6:03,23,10.1,88,29.66,2,West,15,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Day
A-46,MapQuest,201,3,2/9/16 6:12,2/9/16 6:42,39.953625,-82.958954,0,0,0.01,Accident on I-70 Eastbound at Exit 102 Kelton Ave. Expect delays.,0,East Fwy W,R,Columbus,Franklin,OH,43205,US,US/Eastern,KCMH,2/9/16 5:51,25,15.5,88,29.65,1,SW,9.2,0.02,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-47,MapQuest,201,2,2/9/16 6:21,2/9/16 6:51,40.053082,-83.049644,0,0,0.01,Accident on Kenny Rd at Henderson Rd. Expect delays.,0,Kenny Rd,R,Columbus,Franklin,OH,43220,US,US/Eastern,KOSU,2/9/16 6:22,26.1,15,84,29.63,2,West,12.7,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Day
A-48,MapQuest,201,3,2/9/16 6:20,2/9/16 6:50,39.936874,-82.878723,0,0,0.01,Right hand shoulder blocked due to accident on I-70 Westbound at Exits 107 107A 107B OH-317 Hamilton Rd.,0,S Hamilton Rd,R,Columbus,Franklin,OH,43232,US,US/Eastern,KCMH,2/9/16 6:36,24.8,16.1,86,29.64,1,SW,8.1,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Night,Day
A-49,MapQuest,201,2,2/9/16 6:34,2/9/16 7:04,39.780643,-84.16349,0,0,0.01,Accident on Stanley Ave at OH-201 Brandt St. Expect delays.,0,Brandt St,R,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,2/9/16 6:51,23,11.7,86,29.68,4,SW,11.5,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,Night,Night,Night,Day
A-50,MapQuest,201,3,2/9/16 6:41,2/9/16 7:11,39.773193,-84.187454,0,0,0.01,Accident on I-75 Northbound at Exits 54A 54B OH-4. Expect delays.,0,I-75 S,R,Dayton,Montgomery,OH,45404,US,US/Eastern,KFFO,2/9/16 6:51,23,11.7,86,29.68,4,SW,11.5,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-51,MapQuest,201,2,2/9/16 6:48,2/9/16 7:18,39.77858,-84.204681,0,0,0.01,Accident on OH-48 Main St at Burton Ave. Expect delays.,1625,N Main St,L,Dayton,Montgomery,OH,45405-4141,US,US/Eastern,KDAY,2/9/16 6:56,21.9,9.8,92,29.71,2,WSW,12.7,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-52,MapQuest,201,2,2/9/16 6:53,2/9/16 7:23,39.792988,-84.20607,0,0,0.01,Accident on Riverside Dr at Pointview Ave. Expect delays.,2992,Riverside Dr,R,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,2/9/16 6:56,21.9,9.8,92,29.71,2,WSW,12.7,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-53,MapQuest,201,3,2/9/16 6:54,2/9/16 7:24,39.770382,-84.194901,0,0,0.01,Accident on I-75 Northbound at Exit 54B Grand Ave. Expect delays.,0,N Main St,R,Dayton,Montgomery,OH,45405,US,US/Eastern,KDAY,2/9/16 6:56,21.9,9.8,92,29.71,2,WSW,12.7,0.01,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Night,Day,Day
A-54,MapQuest,201,3,2/9/16 7:03,2/9/16 7:33,39.976398,-83.119225,0,0,0.01,Accident on I-70 Eastbound at Exits 93 93A 93B I-270 Outerbelt. Expect delays.,0,Outerbelt S,R,Columbus,Franklin,OH,43204,US,US/Eastern,KTZR,2/9/16 7:20,21.2,8.3,93,29.66,1.5,WSW,13.8,0,Light Snow,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Night,Day,Day,Day
